Date,Open,High,Low,Close,Adj Close,Volume,Company
2012-05-01,41.75830322,44.68784017,26.6438833,29.39466858,1251513200,29.39466858,Meta
2012-06-01,28.68959347,33.21796275,25.34297175,30.88426399,667910500,30.88426399,Meta
2012-07-01,31.03322138,32.65191527,21.46009386,21.55939865,520189700,21.55939865,Meta
2012-08-01,21.35085669,22.29426739,17.9049284,17.93471909,1151944900,17.93471909,Meta
2012-09-01,17.95458074,23.20788543,17.42825661,21.50974655,1058643700,21.50974655,Meta
2012-10-01,21.92683251,24.08177945,18.66958496,20.96356201,1100938300,20.96356201,Meta
2012-11-01,20.9337717,27.80576897,18.73910299,27.80576897,1527490200,27.80576897,Meta
2012-12-01,27.80576514,28.67965978,24.97553509,26.43533897,1191832200,26.43533897,Meta
2013-01-01,27.24965064,32.2844781,27.22978892,30.76509285,1675851700,30.76509285,Meta
2013-02-01,30.7948879,30.80481876,26.15728301,27.06097031,957639800,27.06097031,Meta
2013-03-01,26.86235762,28.48105163,24.54852055,25.40255547,727180500,25.40255547,Meta
2013-04-01,25.45220579,27.9050728,24.97553597,27.57736206,738509200,27.57736206,Meta
2013-05-01,27.65681062,28.86834704,23.09865036,24.1810894,982094800,24.1810894,Meta
2013-06-01,24.10164543,25.01526369,22.51274386,24.70741272,788331500,24.70741272,Meta
2013-07-01,24.796789,38.04425497,23.98247743,36.54472733,1438017100,36.54472733,Meta
2013-08-01,37.04125457,41.96684686,35.77013495,41.00357819,1344994100,41.00357819,Meta
2013-09-01,41.54976211,51.24205673,41.15253533,49.88156128,1583083800,49.88156128,Meta
2013-10-01,49.62336512,54.44965247,44.94603497,49.86169815,2032635000,49.86169815,Meta
2013-11-01,50.49726586,51.72866598,43.24790473,46.68390274,1357311900,46.68390274,Meta
2013-12-01,46.57466159,58.17363907,45.93909801,54.27090073,1517533200,54.27090073,Meta
2014-01-01,54.44964979,62.93040551,51.49031852,62.13595581,1294714800,62.13595581,Meta
2014-02-01,62.59277381,70.94443916,60.27893847,67.98510742,1110774100,67.98510742,Meta
2014-03-01,66.4955146,72.086458,57.57780703,59.82213211,1255440000,59.82213211,Meta
2014-04-01,60.04059388,63.46666232,54.28082868,59.36531067,1883965100,59.36531067,Meta
2014-05-01,60.01080322,63.85396013,55.86972814,62.86089325,1120155500,62.86089325,Meta
2014-06-01,62.79137444,67.52828551,61.36136505,66.82321167,863389800,66.82321167,Meta
2014-07-01,67.11121183,76.20766666,61.7784598,72.14604187,1028365000,72.14604187,Meta
2014-08-01,71.71903184,75.4628771,71.05368126,74.30099487,590763600,74.30099487,Meta
2014-09-01,74.48966384,79.15705729,72.56311904,78.49170685,720995800,78.49170685,Meta
2014-10-01,78.23352109,80.59701645,69.83220696,74.46981049,1083643000,74.46981049,Meta
2014-11-01,74.94647655,77.7270488,72.00701056,77.16100311,490965300,77.16100311,Meta
2014-12-01,76.72405257,81.59998815,73.88389167,77.47877502,534527100,77.47877502,Meta
2015-01-01,78.03490738,78.7002579,73.02986799,75.38343048,546210700,75.38343048,Meta
2015-02-01,75.58203432,80.80554843,72.94048279,78.42219543,475148700,78.42219543,Meta
2015-03-01,78.45199346,85.47295004,76.7240656,81.6496582,575349900,81.6496582,Meta
2015-04-01,81.92770821,84.99626965,77.77670403,78.22357941,542124600,78.22357941,Meta
2015-05-01,78.69033465,81.2822305,76.25733257,78.64068604,421870700,78.64068604,Meta
2015-06-01,78.74990645,88.77984219,78.11434668,85.17501831,537740300,85.17501831,Meta
2015-07-01,86.16808206,98.55158016,84.63877155,93.35786438,790781000,93.35786438,Meta
2015-08-01,92.88119643,98.0550546,71.50054774,88.80963898,709884600,88.80963898,Meta
2015-09-01,86.24752931,95.82065705,85.12537073,89.27637482,635399800,89.27637482,Meta
2015-10-01,89.425332,104.3907921,87.74705299,101.2626419,571590400,101.2626419,Meta
