Date,Open,High,Low,Close,Adj Close,Volume,Company
1985-01-01,0.099672754,0.106517579,0.095395216,0.099244997,6366416000,0.099244997,Apple
1985-02-01,0.099245027,0.105234353,0.084700629,0.084700629,4733388800,0.084700629,Apple
1985-03-01,0.084700607,0.088978145,0.071011721,0.07571701,4615587200,0.07571701,Apple
1985-04-01,0.075716999,0.078712043,0.06716193,0.072722726,2868028800,0.072722726,Apple
1985-05-01,0.072722712,0.076144741,0.057750572,0.059461586,4639129600,0.059461586,Apple
1985-06-01,0.058178335,0.06331138,0.050478002,0.061600365,5811388800,0.061600365,Apple
1985-07-01,0.06202814,0.062455897,0.054328576,0.054328576,2600595200,0.054328576,Apple
1985-08-01,0.054328538,0.055184045,0.04962248,0.051333494,1818745600,0.051333494,Apple
1985-09-01,0.051333491,0.059033821,0.050477984,0.053900778,1797196800,0.053900778,Apple
1985-10-01,0.053900796,0.065878665,0.051333508,0.063739128,3785913600,0.063739128,Apple
1985-11-01,0.063739135,0.071011717,0.063739135,0.068872951,2884672000,0.068872951,Apple
1985-12-01,0.068872939,0.078284286,0.065878661,0.075289242,3571209600,0.075289242,Apple
1986-01-01,0.075289219,0.084700563,0.074433712,0.079139769,6291801600,0.079139769,Apple
1986-02-01,0.079139802,0.091545422,0.078284294,0.085556105,3420860800,0.085556105,Apple
1986-03-01,0.085556108,0.101383765,0.082989586,0.096678466,4264332800,0.096678466,Apple
1986-04-01,0.096678456,0.112078354,0.089834402,0.103523292,4462684800,0.103523292,Apple
1986-05-01,0.103523324,0.128334571,0.101812308,0.126623556,4954051200,0.126623556,Apple
1986-06-01,0.126623475,0.133895288,0.111222816,0.122772925,4063360000,0.122772925,Apple
1986-07-01,0.122772939,0.129190017,0.102667757,0.106945299,5691638400,0.106945299,Apple
1986-08-01,0.106517598,0.130045587,0.104806582,0.126623556,3643516800,0.126623556,Apple
1986-09-01,0.127051279,0.127051279,0.108228584,0.114645652,3578198400,0.114645652,Apple
1986-10-01,0.114217885,0.120634187,0.110367333,0.118495427,2984038400,0.118495427,Apple
1986-11-01,0.118923217,0.141167946,0.115928932,0.136889637,5206163200,0.136889637,Apple
1986-12-01,0.136889612,0.150151506,0.133895339,0.138601393,4762576000,0.138601393,Apple
1987-01-01,0.138173631,0.195923452,0.137317364,0.189934894,8268915200,0.189934894,Apple
1987-02-01,0.189934929,0.244262719,0.176673799,0.23955743,6616176000,0.23955743,Apple
1987-03-01,0.24041284,0.24126833,0.213035078,0.220734626,5959318400,0.220734626,Apple
1987-04-01,0.215601593,0.273779921,0.213462822,0.271213382,6813161600,0.271213382,Apple
1987-05-01,0.27206897,0.281480323,0.248113231,0.270357966,3838956800,0.270357966,Apple
1987-06-01,0.272483046,0.296475245,0.260486947,0.277623892,3497536000,0.277623892,Apple
1987-07-01,0.279337522,0.306757736,0.250204478,0.282765538,3070256000,0.282765538,Apple
1987-08-01,0.281051172,0.371879135,0.274196718,0.370165527,3119300800,0.370165527,Apple
1987-09-01,0.375791464,0.403247124,0.332893309,0.387803048,3075486400,0.387803048,Apple
1987-10-01,0.389518897,0.410110464,0.189611957,0.265113264,6575699200,0.265113264,Apple
1987-11-01,0.265971233,0.274551196,0.209344854,0.226504758,4234238400,0.226504758,Apple
1987-12-01,0.230437812,0.300945062,0.204642642,0.28890726,4702264000,0.28890726,Apple
1988-01-01,0.294066063,0.318141675,0.263112167,0.285468191,6221600000,0.285468191,Apple
1988-02-01,0.287187672,0.300945038,0.259672917,0.295786321,3368467200,0.295786321,Apple
1988-03-01,0.298092693,0.329107655,0.26707695,0.275692582,4882102400,0.275692582,Apple
1988-04-01,0.273969688,0.29206162,0.265354076,0.282584518,3297929600,0.282584518,Apple
1988-05-01,0.280861629,0.297231367,0.257600015,0.286031306,2638507200,0.286031306,Apple
1988-06-01,0.286597162,0.322853402,0.284870796,0.319399863,3534731200,0.319399863,Apple
1988-07-01,0.321126955,0.328032439,0.291776209,0.306451201,2186419200,0.306451201,Apple
1988-08-01,0.307314224,0.315946876,0.271058011,0.27537474,2653313600,0.27537474,Apple
1988-09-01,0.275029098,0.306164,0.261191289,0.299245477,3060321600,0.299245477,Apple
1988-10-01,0.297515994,0.299245614,0.259460981,0.267245114,3563649600,0.267245114,Apple
1988-11-01,0.266380147,0.275029074,0.245623031,0.260326445,2939865600,0.260326445,Apple
1988-12-01,0.261880603,0.291363467,0.260145609,0.279223323,2946070400,0.279223323,Apple
1989-01-01,0.279223453,0.305237938,0.25147476,0.261880726,7345833600,0.261880726,Apple
1989-02-01,0.261880609,0.279223329,0.244537079,0.251474649,4886268800,0.251474649,Apple
1989-03-01,0.252167829,0.253906816,0.233037528,0.247819617,3859676800,0.247819617,Apple
1989-04-01,0.246950336,0.289558397,0.235646211,0.271297574,3966424000,0.271297574,Apple
1989-05-01,0.267819635,0.340861353,0.267819635,0.332165688,5253382400,0.332165688,Apple
1989-06-01,0.332893269,0.350322693,0.275378208,0.287578493,3941280000,0.287578493,Apple
1989-07-01,0.291064154,0.29280693,0.263178003,0.277121067,3688630400,0.277121067,Apple
1989-08-01,0.277121086,0.318950305,0.273634721,0.31023559,3352305600,0.31023559,Apple
1989-09-01,0.310971677,0.326695552,0.300490167,0.310971677,2020849600,0.310971677,Apple
1989-10-01,0.310971646,0.352027457,0.2969955,0.324948609,4125049600,0.324948609,Apple
1989-11-01,0.323200901,0.330189383,0.296995518,0.309224755,2524939200,0.309224755,Apple
1989-12-01,0.311737901,0.320494817,0.227674349,0.246938601,5941185600,0.246938601,Apple
1990-01-01,0.246938596,0.271457335,0.225046716,0.23818168,3747497600,0.23818168,Apple
1990-02-01,0.241684929,0.246938596,0.225922311,0.23818168,2483891200,0.23818168,Apple
1990-03-01,0.23543527,0.3048363,0.233678413,0.282873869,4556473600,0.282873869,Apple
1990-04-01,0.281116961,0.310985277,0.26793966,0.276724786,3642475200,0.276724786,Apple
1990-05-01,0.279360028,0.300443214,0.27233176,0.289902031,4115630400,0.289902031,Apple
1990-06-01,0.291587318,0.316253291,0.264277936,0.315372437,3952054400,0.315372437,Apple
1990-07-01,0.313609861,0.336514102,0.281896943,0.295991659,4163812800,0.295991659,Apple
1990-08-01,0.295991765,0.308324755,0.236088545,0.260754526,3128339200,0.260754526,Apple
1990-09-01,0.258008502,0.265076749,0.192623031,0.204993308,2206948800,0.204993308,Apple
1990-10-01,0.208527394,0.226198846,0.171416597,0.217363521,5056116800,0.217363521,Apple
1990-11-01,0.215595683,0.272145813,0.210294492,0.259775549,3254608000,0.259775549,Apple
1990-12-01,0.26418991,0.320929083,0.262416923,0.304971516,4094092800,0.304971516,Apple
1991-01-01,0.30319763,0.397171625,0.297878719,0.393625677,7037307200,0.393625677,Apple
1991-02-01,0.393625722,0.441499218,0.388306005,0.40603736,5545780800,0.40603736,Apple
1991-03-01,0.405115288,0.499286289,0.405115288,0.483295113,5210598400,0.483295113,Apple
1991-04-01,0.483294881,0.520608081,0.387346426,0.390899837,7243051200,0.390899837,Apple
1991-05-01,0.341149022,0.382016454,0.312720135,0.334042221,7972843200,0.334042221,Apple
1991-06-01,0.334896904,0.352710209,0.286799901,0.295706958,4091662400,0.295706958,Apple
1991-07-01,0.301050697,0.343803956,0.297488217,0.329552323,3783494400,0.329552323,Apple
1991-08-01,0.327770963,0.395463295,0.3259897,0.377649188,4172649600,0.377649188,Apple
1991-09-01,0.376716582,0.382073224,0.332082381,0.353506446,2393070400,0.353506446,Apple
1991-10-01,0.351721217,0.401712092,0.332082435,0.367789477,3593990400,0.367789477,Apple
1991-11-01,0.366004099,0.394570872,0.339223396,0.362433553,3696033600,0.362433553,Apple
1991-12-01,0.363305215,0.415205858,0.347198316,0.403572857,2607169600,0.403572857,Apple
1992-01-01,0.399099094,0.493951731,0.397309515,0.463527501,4703160000,0.463527501,Apple
1992-02-01,0.46352744,0.501110746,0.442051013,0.483214289,2534996800,0.483214289,Apple
1992-03-01,0.485910913,0.491289642,0.414189529,0.417775333,2985662400,0.417775333,Apple
1992-04-01,0.410603884,0.439292095,0.38012191,0.431223184,3931390400,0.431223184,Apple
1992-05-01,0.430326551,0.45363607,0.417775353,0.428533673,2703724800,0.428533673,Apple
1992-06-01,0.410603807,0.426740812,0.306607539,0.34426114,4851683200,0.34426114,Apple
1992-07-01,0.344953496,0.35573343,0.312614555,0.335970908,3632809600,0.335970908,Apple
1992-08-01,0.335971017,0.339564057,0.298241677,0.330580652,2746531200,0.330580652,Apple
1992-09-01,0.333270459,0.360293132,0.315256178,0.325164407,3055662400,0.325164407,Apple
1992-10-01,0.322462279,0.38911619,0.29904313,0.378307283,3531427200,0.378307283,Apple
1992-11-01,0.378307528,0.428748532,0.371101313,0.41433692,3126547200,0.41433692,Apple
1992-12-01,0.413413224,0.442297719,0.393554577,0.431465834,3334318400,0.431465834,Apple
