Date,Open,High,Low,Close,Adj Close,Volume,Company
2004-08-01,2.472122696,2.80536532,2.372249819,2.530712366,2684837851,2.530712366,Google
2004-09-01,2.538870222,3.337860581,2.445918227,3.203871489,4270113667,3.203871489,Google
2004-10-01,3.233536654,4.943009321,3.186565956,4.712855339,10321258145,4.712855339,Google
2004-11-01,4.784793885,4.983799395,3.987781725,4.498769283,11145383635,4.498769283,Google
2004-12-01,4.498028278,4.941279956,4.164785641,4.76600647,5835483147,4.76600647,Google
2005-01-01,4.879970011,5.075268258,4.358104897,4.835967064,8237356337,4.835967064,Google
2005-02-01,4.80531231,5.359562175,4.474543087,4.647344112,13073210618,4.647344112,Google
2005-03-01,4.679482457,4.693325642,4.26614349,4.462429047,6903740285,4.462429047,Google
2005-04-01,4.493331088,5.55584903,4.44586604,5.438671112,9101631755,5.438671112,Google
2005-05-01,5.489348801,6.882390787,5.443862094,6.854455471,10188799510,6.854455471,Google
2005-06-01,7.001053686,7.645041738,6.611199229,7.27175045,15618390955,7.27175045,Google
2005-07-01,7.293751845,7.856406843,7.094746308,7.113781929,8228691980,7.113781929,Google
2005-08-01,7.122680979,7.409447254,6.757548245,7.070271969,5740311751,7.070271969,Google
2005-09-01,7.068047533,7.934278543,7.045550288,7.823280334,6831639042,7.823280334,Google
2005-10-01,7.753319352,9.264280847,7.185966559,9.199757576,7747430832,9.199757576,Google
2005-11-01,9.192836389,10.66078271,9.122380933,10.00987244,8498379059,10.00987244,Google
2005-12-01,10.11592809,11.03086084,9.864018017,10.25584984,7981071306,10.25584984,Google
2006-01-01,10.44521279,11.74530291,9.758457669,10.69588566,12006439028,10.69588566,Google
2006-02-01,9.617301371,10.0491809,8.351573592,8.964412689,11945607870,8.964412689,Google
2006-03-01,9.111256951,9.863770687,8.196324227,9.641279221,12316553076,9.641279221,Google
2006-04-01,9.629661952,11.14235305,9.590107426,10.33199215,7440364169,10.33199215,Google
2006-05-01,10.3450931,10.36907362,8.913734638,9.191847801,7063970623,9.191847801,Google
2006-06-01,9.234368779,10.36635399,9.186409617,10.36635399,5716571099,10.36635399,Google
2006-07-01,10.38390492,10.57796599,9.336960134,9.557226181,5119995337,9.557226181,Google
2006-08-01,9.520393095,9.64127922,8.98270641,9.357727051,4294918292,9.357727051,Google
2006-09-01,9.41854129,10.35053126,9.312981163,9.935461998,4880280180,9.935461998,Google
2006-10-01,9.935461563,12.1618546,9.843745096,11.77694607,6364325977,11.77694607,Google
2006-11-01,11.83553624,12.6819909,11.49685555,11.98509979,4755369734,11.98509979,Google
2006-12-01,12.01402308,12.17273338,11.18240031,11.38363171,3680311197,11.38363171,Google
2007-01-01,11.5200929,12.68199078,11.39920678,12.3976965,5002163322,12.3976965,Google
2007-02-01,12.50894206,12.50918912,10.95249295,11.11095619,4573643120,11.11095619,Google
2007-03-01,10.9433475,11.52009369,10.80317775,11.32627964,4742365168,11.32627964,Google
2007-04-01,11.31639005,12.17520603,11.17696242,11.65309334,3732277253,11.65309334,Google
2007-05-01,11.67311807,12.57766788,11.30773827,12.30894852,3998198267,12.30894852,Google
2007-06-01,12.38533587,13.22561032,12.30103676,12.92178726,5181284205,12.92178726,Google
2007-07-01,12.99075931,13.80878458,12.3329267,12.60782719,4682718433,12.60782719,Google
2007-08-01,12.62018917,13.02363928,11.87756329,12.73761463,3561326880,12.73761463,Google
2007-09-01,12.73192832,14.13535234,12.62958181,14.02361202,2786959199,14.02361202,Google
2007-10-01,14.09036236,17.4779129,14.08146171,17.4779129,6241346740,17.4779129,Google
2007-11-01,17.37383521,18.47269319,15.22877343,17.13181305,6884717244,17.13181305,Google
2007-12-01,17.08261813,17.91794968,16.13060418,17.09423828,3425355126,17.09423828,Google
2008-01-01,17.12859727,17.23984252,12.8303169,13.95018864,6335233336,13.95018864,Google
2008-02-01,13.06937303,13.37517541,11.04668254,11.64814949,7113985391,11.64814949,Google
2008-03-01,11.65630837,11.68622013,10.18786691,10.88895988,5846452106,10.88895988,Google
2008-04-01,11.06868433,14.45845983,10.90206349,14.197155,5743234666,14.197155,Google
2008-05-01,14.29653379,14.89330471,13.29532459,14.48169613,4200999578,14.48169613,Google
