Date,Open,High,Low,Close,Adj Close,Volume,Company
1997-05-01,0.121875003,0.125,0.065624997,0.075000003,3286728000,0.075000003,Amazon
1997-06-01,0.075521,0.085417002,0.068750001,0.077082999,1063272000,0.077082999,Amazon
1997-07-01,0.077082999,0.128646001,0.075521,0.119791999,2172288000,0.119791999,Amazon
1997-08-01,0.117187999,0.120833002,0.096874997,0.116926998,638136000,0.116926998,Amazon
1997-09-01,0.117187999,0.240624994,0.115625001,0.216927007,2157240000,0.216927007,Amazon
1997-10-01,0.221874997,0.275000006,0.176042005,0.254166991,2103744000,0.254166991,Amazon
1997-11-01,0.260937989,0.260937989,0.183332995,0.206249997,1355952000,0.206249997,Amazon
1997-12-01,0.211979002,0.252083004,0.206771001,0.251042008,1299648000,0.251042008,Amazon
1998-01-01,0.25,0.267188013,0.207292005,0.245832995,2241600000,0.245832995,Amazon
1998-02-01,0.247396007,0.331770986,0.238542005,0.320832998,2612424000,0.320832998,Amazon
1998-03-01,0.316145986,0.367707998,0.291667014,0.356379986,4136376000,0.356379986,Amazon
1998-04-01,0.355208009,0.416667014,0.321354002,0.382292002,7097376000,0.382292002,Amazon
1998-05-01,0.386458009,0.399479002,0.332291991,0.367188007,3497400000,0.367188007,Amazon
1998-06-01,0.366667002,0.872916996,0.34375,0.831250012,11677572000,0.831250012,Amazon
1998-07-01,0.848438025,1.225000024,0.78541702,0.923958004,13278936000,0.923958004,Amazon
1998-08-01,0.914583027,1.145833015,0.692708015,0.697916985,8812152000,0.697916985,Amazon
1998-09-01,0.634374976,1,0.541666985,0.930208027,13556712000,0.930208027,Amazon
1998-10-01,0.899999976,1.081771016,0.666666985,1.053645968,10088892000,1.053645968,Amazon
1998-11-01,1.067708015,1.942708015,1.006250024,1.600000024,13035792000,1.600000024,Amazon
1998-12-01,1.545832992,3.015625,1.516667008,2.677083015,14484360000,2.677083015,Amazon
1999-01-01,2.730729103,4.978125095,2.314063072,2.923438072,12926976000,2.923438072,Amazon
1999-02-01,2.943749905,3.25,2.106250048,3.203125,6362920000,3.203125,Amazon
1999-03-01,3.174999952,4.449999809,2.849999905,4.304687977,6620200000,4.304687977,Amazon
1999-04-01,4.484375,5.53125,3.775000095,4.301562786,7265708000,4.301562786,Amazon
1999-05-01,4.171875,4.176562786,2.612499952,2.96875,6075356000,2.96875,Amazon
1999-06-01,2.787499905,3.237499952,2.243750095,3.128124952,7294948000,3.128124952,Amazon
1999-07-01,3.131249905,3.5625,2.4375,2.501563072,7773008000,2.501563072,Amazon
1999-08-01,2.459374905,3.389062881,2.049999952,3.109375,9181716000,3.109375,Amazon
1999-09-01,3.174999952,4.25,2.868750095,3.996875048,6432336000,3.996875048,Amazon
1999-10-01,3.849999905,4.5,3.293750048,3.53125,5086230000,3.53125,Amazon
1999-11-01,3.403125048,4.84375,3.049999952,4.253125191,5621404000,4.253125191,Amazon
1999-12-01,4.362500191,5.650000095,3.799999952,3.806250095,4929522000,3.806250095,Amazon
2000-01-01,4.074999809,4.574999809,2.921875,3.228125095,5244180000,3.228125095,Amazon
2000-02-01,3.375,4.296875,3.153125048,3.443749905,4149154000,3.443749905,Amazon
2000-03-01,3.381249905,3.762500048,3,3.349999905,3131692000,3.349999905,Amazon
2000-04-01,3.271874905,3.431250095,2.040625095,2.759375095,3240250000,2.759375095,Amazon
2000-05-01,2.799999952,3.118750095,2.021874905,2.415625095,2613772000,2.415625095,Amazon
2000-06-01,2.443749905,2.90625,1.623438001,1.815624952,4062818000,1.815624952,Amazon
2000-07-01,1.834375024,2.196875095,1.393749952,1.506250024,3970492000,1.506250024,Amazon
2000-08-01,1.53125,2.198437929,1.465625048,2.075000048,2889294000,2.075000048,Amazon
2000-09-01,2.106250048,2.481250048,1.774999976,1.921875,2674794000,1.921875,Amazon
2000-10-01,1.909374952,1.921875,0.96875,1.831249952,4934670000,1.831249952,Amazon
2000-11-01,1.790624976,2.043750048,1.106250048,1.234375,3186778000,1.234375,Amazon
2000-12-01,1.246875048,1.381250024,0.743749976,0.778124988,4042258000,0.778124988,Amazon
